scalerS16b	IPM2C21A	IPM2C24A		
810	1.3804e+07	12.6477	12.1073	
827	1.3804e+07	12.3838	11.9882	
830	1.3804e+07	12.6282	11.9882	
823	1.3804e+07	12.6958	12.1669	
826	1.3804e+07	12.5723	12.0868	
832	1.3804e+07	12.5723	12.1484	
832	1.3804e+07	12.6815	12.096	
831	1.3804e+07	12.6815	12.2028	
832	1.3804e+07	12.6269	12.1299	
847	1.3804e+07	13.0273	12.249	
826	1.3804e+07	12.7439	12.478	
820	1.3804e+07	12.6477	12.1227	
813	1.3804e+07	12.4254	12.02	
827	1.3804e+07	12.675	12.02	
813	1.3804e+07	12.675	12.2203	
819	1.3804e+07	12.5775	12.0221	
813	1.3804e+07	12.5775	12.1504	
821	1.3804e+07	12.5775	11.9943	
814	1.3804e+07	12.4787	11.9943	
807	1.3804e+07	12.4787	11.9943	
812	1.3804e+07	12.4267	11.8803	
822	1.3804e+07	12.5593	11.9471	
822	1.3804e+07	12.6295	12.1515	
820	1.3804e+07	12.6295	12.0929	
834	1.3804e+07	12.6295	12.0929	
818	1.3804e+07	12.8076	12.2634	
827	1.3804e+07	12.6048	12.1001	
842	1.3804e+07	12.6555	12.1001	
835	1.3804e+07	12.9233	12.3332	
814	1.3804e+07	12.8011	12.3332	
830	1.3804e+07	12.506	12.134	
838	1.3804e+07	12.6503	12.0375	
829	1.3804e+07	12.7738	12.2182	
826	1.3804e+07	12.6139	12.2182	
820	1.3804e+07	12.6139	12.1124	
809	1.3804e+07	12.6659	12.1802	
814	1.3804e+07	12.4072	12.0036	
814	1.3804e+07	12.5437	12.0036	
817	1.3804e+07	12.3825	11.8803	
817	1.3804e+07	12.5346	11.9964	
812	1.3804e+07	12.4215	11.9964	
836	1.3804e+07	12.779	11.9964	
819	1.3804e+07	12.675	12.2726	
811	1.3804e+07	12.3942	12.0344	
819	1.3804e+07	12.5632	11.9707	
825	1.3804e+07	12.7088	12.1237	
832	1.3804e+07	12.6581	12.1237	
835	1.3804e+07	12.7452	12.2305	
828	1.3804e+07	12.8388	12.2901	
827	1.3804e+07	12.5463	12.1658	
831	1.3804e+07	12.7075	12.1658	
829	1.3804e+07	12.8102	12.2254	
822	1.3804e+07	12.7257	12.2809	
818	1.3804e+07	12.7257	12.1741	
807	1.3804e+07	12.6516	12.1741	
806	1.3804e+07	12.402	12.0067	
824	1.3804e+07	12.402	11.8844	
836	1.3804e+07	12.7231	12.0765	
821	1.3804e+07	12.8518	12.3178	
820	1.3804e+07	12.6438	12.2172	
815	1.3804e+07	12.6438	12.2172	
815	1.3804e+07	12.5099	12.0652	
824	1.3804e+07	12.5099	12.0108	
819	1.3804e+07	12.6776	12.1268	
814	1.3804e+07	12.5606	12.0282	
817	1.3804e+07	12.6386	12.1771	
826	1.3804e+07	12.6386	12.0857	
827	1.3804e+07	12.6386	12.0857	
827	1.3804e+07	12.7426	12.2151	
820	1.3804e+07	12.6516	12.2151	
822	1.3804e+07	12.5528	12.0354	
817	1.3804e+07	12.5528	12.1145	
830	1.3804e+07	12.6828	12.058	
820	1.3804e+07	12.6828	12.1771	
826	1.3804e+07	12.6828	12.1042	
805	1.3804e+07	12.5086	12.1042	
821	1.3804e+07	12.5086	11.8875	
812	1.3804e+07	12.6048	12.1463	
822	1.3804e+07	12.6048	12.0498	
814	1.3804e+07	12.4943	12.0498	
835	1.3804e+07	12.6464	12.0498	
834	1.3804e+07	12.8258	12.2624	
819	1.3804e+07	12.6308	12.2624	
821	1.3804e+07	12.6308	12.0868	
827	1.3804e+07	12.5788	12.0868	
828	1.3804e+07	12.6841	12.1515	
833	1.3804e+07	12.6841	12.057	
822	1.3804e+07	12.7608	12.2798	
808	1.3804e+07	12.5216	12.1699	
811	1.3804e+07	12.3708	11.8639	
814	1.3804e+07	12.3708	11.9255	
825	1.3804e+07	12.4527	11.8423	
823	1.3804e+07	12.6568	12.0508	
830	1.3804e+07	12.6568	12.1607	
822	1.3804e+07	12.7608	12.1607	
830	1.3804e+07	12.5723	12.1607	
830	1.3804e+07	12.6841	12.0508	
832	1.3804e+07	12.6841	12.2511	
832	1.3804e+07	12.8219	12.2511	
832	1.3804e+07	12.6789	12.2511	
831	1.3804e+07	12.7569	12.2511	
827	1.40514e+07	12.5684	12.1463	
826	1.38138e+07	12.6256	12.1463	
826	1.38138e+07	12.7374	12.1463	
828	1.38138e+07	12.7374	12.1463	
823	1.38138e+07	12.519	12.1463	
831	1.38138e+07	12.7478	12.1463	
821	1.38138e+07	12.6542	12.2521	
818	1.38138e+07	12.5788	12.0785	
818	1.38138e+07	12.5788	12.0785	
821	1.38138e+07	12.5788	12.0785	
821	1.38138e+07	12.5788	12.0785	
805	1.38138e+07	12.5788	12.1484	
822	1.38138e+07	12.4436	11.9163	
825	1.38138e+07	12.6113	12.0601	
841	1.38138e+07	12.8895	12.2049	
822	1.38138e+07	12.8895	12.4226	
822	1.38138e+07	12.6802	12.2295	
817	1.38138e+07	12.6282	12.1669	
817	1.38138e+07	12.6282	12.0549	
832	1.38138e+07	12.4761	12.0549	
835	1.38138e+07	12.7257	12.0549	
829	1.38138e+07	12.818	12.2449	
810	1.38138e+07	12.7205	12.3486	
822	1.38138e+07	12.3695	11.9738	
823	1.38138e+07	12.5827	11.9738	
823	1.38138e+07	12.5827	12.0652	
833	1.38138e+07	12.5827	12.1412	
818	1.38138e+07	12.675	12.0005	
818	1.38138e+07	12.675	12.2213	
821	1.38138e+07	12.4514	11.9533	
835	1.38138e+07	12.7673	12.1217	
829	1.38138e+07	12.6919	12.2244	
831	1.38138e+07	12.6919	12.1617	
825	1.38138e+07	12.6191	12.1617	
811	1.38138e+07	12.4748	12.0816	
821	1.38138e+07	12.4748	11.8937	
827	1.38138e+07	12.6607	12.0827	
815	1.38138e+07	12.5372	12.0827	
826	1.38138e+07	12.5372	11.982	
822	1.38138e+07	12.6152	12.1073	
819	1.38138e+07	12.6152	12.1073	
824	1.38138e+07	12.5333	12.1073	
837	1.38138e+07	12.6555	12.1073	
837	1.38138e+07	12.9103	12.2768	
838	1.38138e+07	12.8479	12.3702	
823	1.38138e+07	12.8479	12.3702	
837	1.38138e+07	12.7361	12.247	
833	1.38138e+07	12.8323	12.247	
825	1.38138e+07	12.7595	12.247	
834	1.38138e+07	12.7595	12.247	
832	1.38138e+07	12.7595	12.247	
835	1.38138e+07	12.8856	12.247	
811	1.38138e+07	12.8856	12.3445	
822	1.38138e+07	12.4839	12.2809	
826	1.38138e+07	12.4839	11.8372	
820	1.38138e+07	12.6802	12.1361	
816	1.38138e+07	12.6048	12.1361	
834	1.38138e+07	12.4904	12.059	
835	1.38138e+07	12.6672	11.9871	
835	1.38138e+07	12.8063	12.2922	
844	1.38138e+07	12.9025	12.2922	
828	1.38138e+07	12.675	12.2922	
832	1.38138e+07	12.5944	12.0755	
830	1.38138e+07	12.7699	12.2429	
825	1.38138e+07	12.5892	12.1217	
836	1.38138e+07	12.6906	12.1217	
833	1.38138e+07	12.7894	12.2295	
842	1.38138e+07	12.7374	12.2295	
